State,University Name,City,ZIP Code,Enrollment (approx.),Notes (Accessibility, Taxes, etc.),Surrounding ZIPs (5-mile radius)
MD,University of Maryland, College Park,College Park,20742,"41,000",Prince George's County commercial property tax ~1.8%. Accessible via WMATA.,"20740, 20783, 20782, 20781, 20770, 20737, 20706, 20705"
MD,Towson University,Towson,21252,"22,000",Baltimore County commercial property tax ~1.9%. Accessible via MTA.,"21204, 21286, 21239, 21212, 21209, 21210, 21234, 21093"
MD,University of Maryland, Baltimore County,Baltimore,21250,"14,000",Baltimore County commercial property tax ~1.9%. Accessible via MTA.,"21227, 21228, 21229, 21075"
MD,Salisbury University,Salisbury,21801,"8,500",Wicomico County commercial property tax ~1.5%. Accessible via Shore Transit.,"21804, 21802, 21803"
MD,University of Baltimore,Baltimore,21201,"5,000",Baltimore City commercial property tax ~2.2%. Accessible via MTA.,"21202, 21217, 21218, 21230, 21223, 21213, 21205, 21231"
MD,Morgan State University,Baltimore,21251,"8,000",Baltimore City commercial property tax ~2.2%. Accessible via MTA.,"21212, 21218, 21239, 21214, 21206, 21213, 21234"
MD,Frostburg State University,Frostburg,21532,"5,000",Allegany County commercial property tax ~1.6%. Limited public transit.,"21521, 21502, 21545"
MD,Bowie State University,Bowie,20715,"6,000",Prince George's County commercial property tax ~1.8%. Accessible via TheBus.,"20716, 20720, 20721, 20717, 20718, 20719, 20769"
MD,Coppin State University,Baltimore,21216,"2,500",Baltimore City commercial property tax ~2.2%. Accessible via MTA.,"21217, 21215, 21207, 21229, 21223, 21201"
MD,University of Maryland Eastern Shore,Princess Anne,21853,"2,500",Somerset County commercial property tax ~1.4%. Limited public transit.,"21853"
MD,St. Mary's College of Maryland,St. Mary's City,20686,"1,500",St. Mary's County commercial property tax ~1.3%. Limited public transit.,"20619, 20636, 20653"
