State,University Name,City,ZIP Code,Enrollment (approx.),Notes (Accessibility, Taxes, etc.),Surrounding ZIPs (5-mile radius)
AR,University of Arkansas,Fayetteville,72701,"29,000",Washington County commercial property tax ~0.9%. Accessible via Ozark Regional Transit.,"72702, 72703, 72704, 72730, 72764"
AR,Arkansas State University,Jonesboro,72401,"13,000",Craighead County commercial property tax ~0.8%. Accessible via Jonesboro Economic Transit System (JETS).,"72402, 72403, 72404, 72405"
AR,University of Central Arkansas,Conway,72035,"10,000",Faulkner County commercial property tax ~0.7%. Limited public transit.,"72032, 72033, 72034"
AR,University of Arkansas at Little Rock,Little Rock,72204,"9,000",Pulaski County commercial property tax ~1.1%. Accessible via Rock Region METRO.,"72201, 72202, 72205, 72206, 72207, 72209, 72211, 72212, 72214, 72215, 72216, 72217, 72219, 72221, 72222, 72223, 72225, 72227, 72231, 72260, 72295"
AR,Arkansas Tech University,Russellville,72801,"9,000",Pope County commercial property tax ~0.6%. Limited public transit.,"72802, 72811, 72812"
AR,Henderson State University,Arkadelphia,71999,"3,000",Clark County commercial property tax ~0.7%. Limited public transit.,"71923"
AR,Southern Arkansas University,Magnolia,71753,"4,000",Columbia County commercial property tax ~0.6%. Limited public transit.,"71754"
AR,University of Arkansas at Pine Bluff,Pine Bluff,71601,"2,500",Jefferson County commercial property tax ~0.9%. Limited public transit.,"71602, 71603, 71611, 71612, 71613"
AR,University of Arkansas at Monticello,Monticello,71656,"3,000",Drew County commercial property tax ~0.7%. Limited public transit.,"71655"
AR,University of Arkansas Fort Smith,Fort Smith,72903,"6,000",Sebastian County commercial property tax ~0.8%. Accessible via Fort Smith Transit.,"72901, 72902, 72904, 72905, 72906, 72908, 72913, 72914, 72916, 72917, 72918, 72919, 72923"
