State,University Name,City,ZIP Code,Enrollment (approx.),Notes (Accessibility, Taxes, etc.),Surrounding ZIPs (5-mile radius)
IL,University of Illinois Urbana-Champaign,Urbana,61801,"56,000",Champaign County commercial property tax ~2.5%. Accessible via C-U MTD.,"61802, 61803, 61820, 61821, 61822, 61824, 61825, 61826, 61874"
IL,University of Illinois Chicago,Chicago,60607,"34,000",Cook County commercial property tax ~2.5%. Accessible via CTA.,"60601, 60602, 60603, 60604, 60605, 60606, 60608, 60612, 60616, 60622, 60623, 60624, 60661"
IL,Northern Illinois University,DeKalb,60115,"16,000",DeKalb County commercial property tax ~2.8%. Accessible via Huskie Line.,"60111, 60112, 60113, 60135, 60150, 60151, 60178"
IL,Illinois State University,Normal,61761,"20,000",McLean County commercial property tax ~2.4%. Accessible via Connect Transit.,"61701, 61702, 61704, 61705, 61709, 61710, 61791, 61799"
IL,Southern Illinois University Carbondale,Carbondale,62901,"11,000",Jackson County commercial property tax ~2.6%. Accessible via Saluki Express.,"62902, 62903, 62918, 62958"
IL,Southern Illinois University Edwardsville,Edwardsville,62026,"13,000",Madison County commercial property tax ~2.7%. Accessible via MCT.,"62025, 62034, 62040, 62048, 62084, 62087"
IL,Eastern Illinois University,Charleston,61920,"8,000",Coles County commercial property tax ~2.5%. Accessible via Panther Shuttle.,"61938"
IL,Western Illinois University,Macomb,61455,"7,000",McDonough County commercial property tax ~2.4%. Accessible via Go West.,"61422"
IL,Northeastern Illinois University,Chicago,60625,"7,000",Cook County commercial property tax ~2.5%. Accessible via CTA.,"60613, 60618, 60630, 60634, 60640, 60641, 60646, 60656, 60659, 60660"
IL,Chicago State University,Chicago,60628,"3,000",Cook County commercial property tax ~2.5%. Accessible via CTA.,"60619, 60620, 60621, 60627, 60629, 60636, 60643, 60649, 60652, 60655, 60805, 60827"
IL,Governors State University,University Park,60484,"5,000",Will County commercial property tax ~2.6%. Accessible via Pace.,"60449, 60461, 60466, 60471"
IL,University of Illinois Springfield,Springfield,62703,"4,000",Sangamon County commercial property tax ~2.3%. Accessible via SMTD.,"62701, 62702, 62704, 62707, 62711, 62712, 62791, 62794, 62796"
